CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= J'aurais voulu que nous ayons plus d'argent.
CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= Tu dois essayer de gagner plus.
CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= Je n'arrete pas de rever que nous nageons dans les Brass.
CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= Nous sommes un peu à court d'argent en ce moment.
CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= Nous devons faire mieux.
CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= Je veux que ma moitié qui puisse gagner ses Brass.
CONTEXTDIALOGUE_SPOUSE_WEALTH_GETTINGBY |= C'est ca la vie. Etre à l'aise dans ton chez toi.
CONTEXTDIALOGUE_SPOUSE_WEALTH_GETTINGBY |= Je sens que nous pouvons vraiment arriver quelque part dans la vie.
CONTEXTDIALOGUE_SPOUSE_WEALTH_GETTINGBY |= C'est sympa d'avoir de l'argent.
CONTEXTDIALOGUE_SPOUSE_WEALTH_GETTINGBY |= Une jolie ferme. De l'argent gagné décemment. La stabilité a du bon.
CONTEXTDIALOGUE_SPOUSE_WEALTH_GETTINGBY |= Ahh une vie simple.
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= J'adore etre riche.
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= Le problème avec le fait d'avoir autant d'argent est qu'on en veut plus.
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= Peux-tu m'acheter quelque chose de joli? Nous avons assez d'argent!
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= C'est l'argent qui parle. Pas littéralement.
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= Je n'ai jamais rêvé que je serais marié à une machine à sous.
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= Est-ce que tu penses que je suis avec toi pour ton argent?
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= L'argent est drôle dans le monde d'un homme riche.
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= Joli Brass, dommage pour le visage. Je rigole.
CONTEXTDIALOGUE_SPOUSE_WEALTH_WEALTHY |= J'adore etre riche. Je veux dire nous.
CONTEXTDIALOGUE_SPOUSE_WEATHER_SUN |= Il est temps de bronzer!
CONTEXTDIALOGUE_SPOUSE_WEATHER_SUN |= On se croirait dans un four dehors aujourd'hui!
CONTEXTDIALOGUE_SPOUSE_WEATHER_RAINING |= On dirait qu'il va pleuvoir à nouveau.
CONTEXTDIALOGUE_SPOUSE_WEATHER_RAINING |= C'est cette pluie fine qui t'a complètement trempé.
CONTEXTDIALOGUE_SPOUSE_WEATHER_RAINING |= Les pluies de Printemps durent longtemps.
CONTEXTDIALOGUE_SPOUSE_WEATHER_RAINING |= Ahh de la pluie! J'avais besoin d'une douche.
CONTEXTDIALOGUE_SPOUSE_WEATHER_RAINING |= Pluie, pluie, va-t-en. Reviens dans une heure.
CONTEXTDIALOGUE_SPOUSE_WEATHER_RAINING |= Je chante sous la pluie!
CONTEXTDIALOGUE_SPOUSE_WEATHER_STORM |= Un mauvais vente est en train de souffler. Ca doit etre le choux.
CONTEXTDIALOGUE_SPOUSE_WEATHER_SNOWING |= Le souffle de l'Hiver est si rafraichissant.
CONTEXTDIALOGUE_SPOUSE_WEATHER_SNOWING |= Qu'est qui rend la neige blanche?
CONTEXTDIALOGUE_SPOUSE_WEATHER_SNOWING |= Les Flocons de Neige sont les Déesses qui tamisent la farine.
CONTEXTDIALOGUE_SPOUSE_WEATHER_SNOWING |= J'aime l'odeur des flocons de givre le matin.
CONTEXTDIALOGUE_SPOUSE_WEATHER_SNOWING |= La glace est belle, mais le vent souffle.
CONTEXTDIALOGUE_SPOUSE_WEATHER_MIST |= Ooooh il ya du brouillard! Les dragons sont de sortie ce soir!
CONTEXTDIALOGUE_SPOUSE_WEATHER_MIST |= Tu me manques.
CONTEXTDIALOGUE_SPOUSE_WEATHER_MIST |= Wooo c'est effrayant dehors.
CONTEXTDIALOGUE_SPOUSE_WEATHER_MIST |= As-tu entendu ce bruit dans le brouillard? Moi non plus.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= C'est sympa.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= Rien ne bat un bon moment de détente.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= J'aime avoir un peu de temps pour moi.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= Ahhhh sympa et relaxant.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= J'aime etre seul avec mes pensées.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= J'étais juste en train d'admirer le ciel...
CONTEXTDIALOGUE_SPOUSE_GENERAL |= C'est sympa de pouvoir se détendre.
